,year,month,true,predicted,true_movement,predicted_movement
0,2025,10,-0.7142857142857229,0.5375671941970541,down,up
1,2025,11,-7.434052757793763,1.7981127358837905,down,up
2,2025,12,3.4542314335060498,-3.362378247589913,up,down
3,2026,1,11.853088480801333,0.9671138618708004,up,up
4,2026,2,-1.49253731343284,-1.4076839382176303,down,down
5,2026,3,1.81818181818183,-0.6609469673813595,up,down
6,2026,4,4.315476190476186,-0.2614565888535605,up,down
7,2026,5,-1.5691868758915706,-0.8014604916003747,down,down
8,2026,6,-18.84057971014492,-3.0744603441215856,down,down
9,2026,7,1.7857142857142794,7.86479170684274,up,up
