,year,month,true,predicted,true_pct_change,predicted_pct_change,true_movement,predicted_movement
0,2025,10,3.53,3.3672668190348203,4.4378698224851965,-0.3767213303307537,up,down
1,2025,11,3.18,3.3413947901463743,-9.915014164305935,-0.7683391390962524,down,down
2,2025,12,3.1,3.308599266011012,-2.515723270440251,-0.9814920473352862,down,down
3,2026,1,3.65,3.2763753800619604,17.741935483870954,-0.9739434533545643,up,down
4,2026,2,3.81,3.28625640806722,4.383561643835621,0.3015841244989659,up,up
5,2026,3,3.17,3.236896618790157,-16.79790026246719,-1.5020066345368677,down,down
6,2026,4,3.06,3.158175904568041,-3.4700315457413256,-2.431981107000547,down,down
7,2026,5,3.1,3.2311781340149244,1.3071895424836555,2.311531455271121,up,up
8,2026,6,2.94,3.0997675796691024,-5.161290322580648,-4.066954803959899,down,down
9,2026,7,2.9,3.096018145891359,-1.3605442176870763,-0.1209585454837181,down,down
