,year,month,true,predicted,true_movement,predicted_movement
0,2025,10,1.6528925619834878,4.965537356457434,up,up
1,2025,11,-2.4390243902439046,-4.511340751060395,down,down
2,2025,12,-0.666666666666671,4.098689408853435,down,up
3,2026,1,4.194630872483218,-3.7237831937874875,up,down
4,2026,2,0.6441223832528209,3.3831695674186655,up,up
5,2026,3,-10.40000000000001,-3.073711794232079,down,down
6,2026,4,0.0,2.7925600552176633,down,up
7,2026,5,-2.678571428571419,-2.5371252036808447,down,down
8,2026,6,10.09174311926606,2.305054921603411,up,up
9,2026,7,-4.166666666666663,-2.0942120569767853,down,down
