,year,month,true,predicted,true_movement,predicted_movement
0,2025,10,4.651162790697683,8.049884012060897,up,up
1,2025,11,3.333333333333344,13.746926538546433,up,up
2,2025,12,-2.150537634408612,8.751168617037386,down,up
3,2026,1,75.82417582417582,34.38898543485699,up,up
4,2026,2,57.87500000000001,-1.9787328250181275,up,down
5,2026,3,-20.823436262866203,-0.6451060515730109,down,down
6,2026,4,-5.999999999999995,3.520617570750816,down,up
7,2026,5,-4.574468085106376,15.33936533118274,down,up
8,2026,6,-7.46934225195095,2.1452949780517017,down,up
9,2026,7,2.409638554216853,1.7598582529208535,up,up
