,year,month,true,predicted,true_pct_change,predicted_pct_change,true_movement,predicted_movement
0,2025,10,6.49,6.950913896254134,-0.0015384615384614886,0.06937136865448212,down,up
1,2025,11,5.74,7.509878541746105,-0.11556240369799686,0.08041599332617233,down,up
2,2025,12,6.55,8.366107009217822,0.14111498257839705,0.11401362388380742,up,up
3,2026,1,8.1,8.878512888675415,0.23664122137404586,0.06124782756101732,up,up
4,2026,2,9.5,8.468788021457723,0.1728395061728396,-0.04614791602547519,up,down
5,2026,3,9.3,8.60947268918381,-0.021052631578947323,0.01661213710505316,down,up
6,2026,4,9.3,9.484998132325918,0.0,0.10169327144065865,down,up
7,2026,5,12.75,9.911891557491662,0.37096774193548376,0.04500722290190495,up,up
8,2026,6,9.0,10.644896766252437,-0.2941176470588235,0.07395210132285501,down,up
9,2026,7,10.3,11.922554951984559,0.1444444444444446,0.12002541816870282,up,up
