,year,month,true,predicted,true_movement,predicted_movement
0,2025,10,-9.523809523809524,1.0872550797759448,down,up
1,2025,11,0.5263157894736858,-4.998872278441439,up,down
2,2025,12,-0.5235602094240899,10.861823345634416,down,up
3,2026,1,-2.1052631578947323,-1.179601501432419,down,down
4,2026,2,7.258064516129026,-3.137298305332042,up,down
5,2026,3,-4.761904761904756,4.868777119793268,down,up
6,2026,4,5.263157894736836,1.72408283620382,up,up
7,2026,5,5.500000000000016,0.3952312641842468,up,up
8,2026,6,-13.033175355450233,-3.4884485760345694,down,down
9,2026,7,19.07356948228882,9.975603593296725,up,up
