,year,month,true,predicted,true_movement,predicted_movement
0,2025,10,-2.571428571428569,51.019696257618165,down,up
1,2025,11,-13.48973607038123,6.034763805876025,down,up
2,2025,12,32.203389830508456,31.13396045831331,up,up
3,2026,1,28.20512820512821,13.61299910447272,up,up
4,2026,2,-9.999999999999998,26.278348453612985,down,up
5,2026,3,-2.444444444444449,12.934260901815644,down,up
6,2026,4,-20.501138952164,9.042100367079762,down,up
7,2026,5,14.613180515759304,-20.5791585734967,up,down
8,2026,6,7.499999999999996,4.07232650153324,up,up
9,2026,7,-2.3255813953488302,18.59173948715238,down,up
