,year,month,true,predicted,true_movement,predicted_movement
0,2025,10,-12.962962962962964,15.443469840233504,down,up
1,2025,11,-0.7092198581560294,27.38135880715098,down,up
2,2025,12,-1.4285714285714235,-23.144288960125454,down,down
3,2026,1,26.811594202898537,10.819512976130586,up,up
4,2026,2,89.71428571428572,7.8642739894075575,up,up
5,2026,3,-13.25301204819278,-12.647998921248046,down,down
6,2026,4,52.08333333333333,35.66859936212357,up,up
7,2026,5,8.447488584474883,9.60339790021213,up,up
8,2026,6,0.0,-2.279060565927125,down,down
9,2026,7,0.0,14.779620979257327,down,up
