,year,month,true,predicted,true_pct_change,predicted_pct_change,true_movement,predicted_movement
0,2025,10,3.41,3.9357969769501846,-2.571428571428569,12.45134219857671,down,up
1,2025,11,2.95,3.8219768275098303,-13.48973607038123,-2.891921257802088,down,down
2,2025,12,3.9,3.84345523117656,32.203389830508456,0.5619710593777638,up,up
3,2026,1,5.0,4.315255768233249,28.205128205128215,12.27542689269887,up,up
4,2026,2,4.5,4.206612418745653,-9.999999999999998,-2.5176572449627233,down,down
5,2026,3,4.39,4.0597164453362256,-2.444444444444449,-3.4920253825815872,down,down
6,2026,4,3.49,3.94079766775808,-20.501138952164,-2.9292385115901043,down,down
7,2026,5,4.0,3.8078386831112714,14.613180515759305,-3.373910458144602,up,down
8,2026,6,4.3,4.215663287581439,7.499999999999996,10.71013344864038,up,up
9,2026,7,4.2,4.305184342280354,-2.3255813953488302,2.123534271881433,down,up
