,year,month,true,predicted,true_pct_change,predicted_pct_change,true_movement,predicted_movement
0,2025,10,77.0,79.50869576427209,5.47945205479452,8.916021594893264,up,up
1,2025,11,72.0,85.35295341814195,-6.493506493506496,7.350463490429959,down,up
2,2025,12,72.0,91.54034385748731,0.0,7.24918141851929,down,up
3,2026,1,78.0,97.31943078161761,8.333333333333325,6.313158418027509,up,up
4,2026,2,94.9,103.84022631085004,21.66666666666668,6.700404510035551,up,up
5,2026,3,94.0,109.73868243046799,-0.94836670179137,5.680319014290935,down,up
6,2026,4,137.5,116.26422036364215,46.27659574468086,5.946433644589133,up,up
7,2026,5,156.0,122.57167853323246,13.454545454545453,5.4251068384257195,up,up
8,2026,6,126.0,128.54517719851194,-19.23076923076923,4.873473821001739,down,up
9,2026,7,124.0,135.58117473038223,-1.5873015873015928,5.473560101756769,down,up
