,year,month,true,predicted,true_pct_change,predicted_pct_change,true_movement,predicted_movement
0,2025,10,3.91,3.7318199434597177,0.11714285714285722,0.0662342695599194,up,up
1,2025,11,3.31,3.650651731489948,-0.15345268542199486,-0.02175030231885189,down,down
2,2025,12,3.79,3.8924913005293647,0.14501510574018117,0.06624558759011334,up,up
3,2026,1,4.2,3.897112324532096,0.10817941952506605,0.001187163604476904,up,up
4,2026,2,4.42,4.066646357989687,0.05238095238095242,0.04350247550997799,up,up
5,2026,3,4.1,4.002062998195356,-0.07239819004524894,-0.01588123335766456,down,down
6,2026,4,4.31,4.146901335687145,0.051219512195122,0.036190918922840876,up,up
7,2026,5,4.55,4.108032203903569,0.05568445475638062,-0.009373054393428282,up,down
8,2026,6,4.01,4.208272422194977,-0.1186813186813187,0.024401030302575677,down,up
9,2026,7,4.13,4.360480350732365,0.029925187032419087,0.036168744146558574,up,up
