,year,month,true,predicted,true_movement,predicted_movement
0,2025,10,0.0,15.073795120147217,down,up
1,2025,11,-8.333333333333337,0.7550316961331163,down,up
2,2025,12,34.909090909090914,9.08527142352516,up,up
3,2026,1,59.02964959568735,17.159157614813655,up,up
4,2026,2,14.237288135593218,3.2578378773052243,up,up
5,2026,3,-6.528189910979232,13.713689967413458,down,up
6,2026,4,-17.301587301587297,1.1176830393590613,down,up
7,2026,5,10.172744721689076,8.52183025139167,up,up
8,2026,6,-17.247386759581886,-1.7418344735610987,down,down
9,2026,7,5.263157894736836,3.810603722294715,up,up
