,year,month,true,predicted,true_movement,predicted_movement
0,2025,10,-17.499999999999993,-5.060715575879087,down,down
1,2025,11,-9.090909090909092,8.174660542279625,down,up
2,2025,12,21.111111111111104,2.891010367697959,up,up
3,2026,1,94.18960244648318,53.62382844176608,up,up
4,2026,2,33.38582677165356,-12.074560587161784,up,down
5,2026,3,-13.695395513577346,-15.103300180521074,down,down
6,2026,4,-8.071135430916554,1.7761341048344192,down,up
7,2026,5,18.005952380952372,36.17087285422644,up,up
8,2026,6,7.187894073139978,-8.425250812646652,up,down
9,2026,7,-37.64705882352941,7.639470919668383,down,up
