,year,month,true,predicted,true_pct_change,predicted_pct_change,true_movement,predicted_movement
0,2025,10,12.95,12.408037411195368,0.05284552845528445,0.008783529365476994,up,up
1,2025,11,13.85,12.725776535731415,0.06949806949806958,0.025607524704056805,up,up
2,2025,12,13.4,12.773259466324506,-0.032490974729241784,0.0037312403262597105,down,up
3,2026,1,15.05,12.70204718723074,0.12313432835820892,-0.005575106282113107,up,down
4,2026,2,13.0,12.610907172645032,-0.1362126245847176,-0.0071752224851857616,down,down
5,2026,3,12.0,12.519737166498238,-0.07692307692307687,-0.007229456604403106,down,down
6,2026,4,9.95,12.618538690716214,-0.1708333333333334,0.007891661214930235,down,up
7,2026,5,10.0,12.486069800762385,0.005025125628140836,-0.010497958060016077,up,down
8,2026,6,8.35,10.536778236221355,-0.16500000000000004,-0.15611730477608,down,down
9,2026,7,9.0,9.31975208033921,0.07784431137724557,-0.11550268294519872,up,down
