,year,month,true,predicted,true_movement,predicted_movement
0,2025,10,-9.090909090909092,4.775245122731754,down,up
1,2025,11,1.17647058823529,6.679671280146394,up,up
2,2025,12,1.744186046511631,3.7738131531057704,up,up
3,2026,1,124.5714285714286,30.126992595734983,up,up
4,2026,2,59.160305343511446,55.48714653962354,up,up
5,2026,3,-22.8617106314948,-8.355419136271024,down,down
6,2026,4,10.259067357512963,-4.847277496003624,up,down
7,2026,5,17.481203007518786,22.83627377752491,up,up
8,2026,6,-20.40000000000001,25.585612254828504,down,up
9,2026,7,28.14070351758795,20.288077445373887,up,up
