,year,month,true,predicted,true_movement,predicted_movement
0,2025,10,-2.116402116402105,-1.2011475494012827,down,down
1,2025,11,-6.216216216216209,-0.6091118878427638,down,down
2,2025,12,7.780979827089318,2.321860424982015,up,up
3,2026,1,-2.1390374331550777,1.816578266662658,down,up
4,2026,2,5.464480874316946,-0.02642470279258821,up,down
5,2026,3,-4.922279792746109,-4.922796034374181,down,down
6,2026,4,0.2724795640326904,3.8585690525266236,up,up
7,2026,5,3.260869565217406,0.3300375012187133,up,up
8,2026,6,-11.578947368421044,-2.05358046889232,down,down
9,2026,7,5.654761904761907,-0.045245635699908415,up,down
