,year,month,true,predicted,true_pct_change,predicted_pct_change,true_movement,predicted_movement
0,2025,10,5.3,6.278664219481059,-9.401709401709402,7.327593495402729,down,up
1,2025,11,5.4,6.994732247243636,1.8867924528301883,11.40478297184304,up,up
2,2025,12,5.8,7.447758425167222,7.407407407407396,6.476676474672871,up,up
3,2026,1,9.8,7.7795107085174635,68.96551724137933,4.454391031658544,up,up
4,2026,2,11.55,8.086857156951107,17.85714285714286,3.9507169531515895,up,up
5,2026,3,10.1,8.315056519696206,-12.554112554112562,2.821854749208108,down,up
6,2026,4,8.3,8.676605034850638,-17.821782178217816,4.348118552147162,down,up
7,2026,5,10.2,9.0196199941587,22.891566265060213,3.9533314923325458,up,up
8,2026,6,9.0,10.43602502578198,-11.764705882352933,15.703599847228311,down,up
9,2026,7,9.0,11.193761502770629,0.0,7.260776733638297,down,up
