,year,month,true,predicted,true_pct_change,predicted_pct_change,true_movement,predicted_movement
0,2025,10,63.0,70.77974960292254,-0.08695652173913049,0.025793472506123738,down,up
1,2025,11,60.0,73.17300403411045,-0.04761904761904767,0.03381269988399471,down,up
2,2025,12,61.8,75.47237083425242,0.030000000000000027,0.03142370373464631,up,up
3,2026,1,71.45,77.42604931321915,0.15614886731391597,0.025886009109973296,up,up
4,2026,2,91.0,77.45442630883915,0.27361791462561236,0.00036650450167230453,up,up
5,2026,3,95.8,79.67041371016401,0.05274725274725278,0.028610209989664348,up,up
6,2026,4,130.5,76.42353042806309,0.36221294363256784,-0.040753940275908285,up,down
7,2026,5,131.0,79.14734057006831,0.003831417624521105,0.03564098814525618,up,up
8,2026,6,110.0,82.16388884276611,-0.16030534351145043,0.03811307178448131,down,up
9,2026,7,114.0,85.42476081762808,0.036363636363636376,0.039687410379299015,up,up
