,year,month,true,predicted,true_pct_change,predicted_pct_change,true_movement,predicted_movement
0,2025,10,112.0,113.28591678872237,2.752293577981657,3.9320337511214554,up,up
1,2025,11,105.0,119.79409162972968,-6.25,5.744910775754253,down,up
2,2025,12,100.0,125.2546755331967,-4.761904761904767,4.55830820133023,down,up
3,2026,1,108.0,131.20910252175824,8.000000000000007,4.7538560642260475,up,up
4,2026,2,122.0,136.93072777067482,12.962962962962955,4.360692313986192,up,up
5,2026,3,133.1,142.76209769683305,9.098360655737704,4.258627717165386,up,up
6,2026,4,165.0,148.5417330689401,23.96694214876034,4.048438251713393,up,up
7,2026,5,169.35,154.3457565403167,2.6363636363636367,3.907335232639908,up,up
8,2026,6,163.0,160.13828325876113,-3.749630941836435,3.7529549553449337,down,up
9,2026,7,166.9,165.93622964220373,2.3926380368098243,3.6205873233160046,up,up
