,year,month,true,predicted,true_movement,predicted_movement
0,2025,10,-2.0547945205479423,-3.3173842874057176,down,down
1,2025,11,-6.643356643356646,-7.424952859652674,down,down
2,2025,12,12.808988764044948,4.585148699610137,up,up
3,2026,1,4.648074369189903,7.1730410468614005,up,up
4,2026,2,1.4593908629441763,-2.8659932148363114,up,down
5,2026,3,-8.69293308317699,-5.78364740953228,down,down
6,2026,4,7.8082191780821875,5.370553675564052,up,up
7,2026,5,6.226175349428198,6.18305403445928,up,up
8,2026,6,-13.277511961722476,-6.296162409235487,down,down
9,2026,7,3.4482758620689724,-5.390371763874784,up,down
