,year,month,true,predicted,true_pct_change,predicted_pct_change,true_movement,predicted_movement
0,2025,10,2.6,2.768648106423251,-9.40766550522648,-3.531424863301369,down,down
1,2025,11,2.55,2.631072671975559,-1.9230769230769384,-4.9690473169384575,down,down
2,2025,12,2.45,2.67231650524074,-3.9215686274509665,1.5675672399505736,down,up
3,2026,1,2.45,2.5029648972207696,0.0,-6.337258617676866,down,down
4,2026,2,2.5,2.359550964277745,2.0408163265306145,-5.7297620554834,up,down
5,2026,3,2.03,2.1826514944568176,-18.800000000000004,-7.49716672786832,down,down
6,2026,4,1.95,1.9683097036921329,-3.9408866995073843,-9.820248047342373,down,down
7,2026,5,2.1,1.9466091800932956,7.692307692307709,-1.1024953826184736,up,down
8,2026,6,1.94,1.874050654872504,-7.619047619047626,-3.7274315750074782,down,down
9,2026,7,2.0,1.743030214608975,3.0927835051546504,-6.991296629196119,up,down
