,year,month,true,predicted,true_movement,predicted_movement
0,2025,10,6.788511749347248,4.765873834410042,up,up
1,2025,11,-20.04889975550121,-4.534571672647562,down,down
2,2025,12,-5.198776758409784,1.5718048658359285,down,up
3,2026,1,34.83870967741933,-0.5448299673303058,up,down
4,2026,2,13.636363636363647,0.1888527639487072,up,up
5,2026,3,-13.89473684210527,-0.06546146245557713,down,down
6,2026,4,-1.4669926650366705,0.022690708768163988,down,up
7,2026,5,3.970223325062028,-0.007865211761057573,up,down
8,2026,6,-24.343675417661103,0.002726294567451887,down,up
9,2026,7,15.77287066246056,-0.0009450072412949574,up,down
