,year,month,true,predicted,true_movement,predicted_movement
0,2025,10,4.456521739130426,-2.155857617219794,up,down
1,2025,11,-19.14672216441207,-2.487339673040866,down,down
2,2025,12,3.474903474903468,-0.6582434211480719,up,down
3,2026,1,0.746268656716409,0.04826705230991981,up,up
4,2026,2,3.209876543209877,5.285170669905612,up,up
5,2026,3,19.61722488038278,5.079747959470832,up,up
6,2026,4,-7.9999999999999964,7.10312381802515,down,up
7,2026,5,10.869565217391308,-0.285359851911811,up,down
8,2026,6,-21.666666666666657,-4.041240354155246,down,down
9,2026,7,-2.377972465581979,-5.2133408387470315,down,down
