,year,month,true,predicted,true_movement,predicted_movement
0,2025,10,0.0,-0.689759720885734,down,down
1,2025,11,-9.983982915109458,-6.080837361843329,down,down
2,2025,12,0.0,-2.0599390214583293,down,down
3,2026,1,0.0,-1.1049218896916844,down,down
4,2026,2,-5.812574139976268,0.09073521016863118,down,up
5,2026,3,0.0,1.136751274407177,down,up
6,2026,4,0.0,-0.1735801646920643,down,down
7,2026,5,0.0,0.7511582369711448,down,up
8,2026,6,0.0,-0.14636416017419043,down,down
9,2026,7,0.0,-0.060315102511380954,down,down
