,year,month,true,predicted,true_movement,predicted_movement
0,2025,10,-0.99009900990098,-13.294835614017838,down,down
1,2025,11,-14.000000000000002,-11.169198042117099,down,down
2,2025,12,25.968992248062012,30.611267167068853,up,up
3,2026,1,9.53846153846154,-5.6910353978702375,up,down
4,2026,2,-7.303370786516861,-22.122768906342237,down,down
5,2026,3,-6.060606060606055,-26.111811754518527,down,down
6,2026,4,-19.354838709677423,-23.140875900535654,down,down
7,2026,5,-1.19999999999999,-13.999695107965458,down,down
8,2026,6,-16.194331983805675,-19.37285643739422,down,down
9,2026,7,25.603864734299545,2.8459600476752787,up,up
