,year,month,true,predicted,true_pct_change,predicted_pct_change,true_movement,predicted_movement
0,2025,10,105.0,113.747052846738,0.0,0.08330526520702852,down,up
1,2025,11,106.5,113.92864287929275,0.014285714285714235,0.0015964372527472737,up,up
2,2025,12,108.0,126.70907459496073,0.014084507042253502,0.11217926758952812,up,up
3,2026,1,120.0,142.02399504224974,0.11111111111111116,0.12086680055272137,up,up
4,2026,2,170.0,152.9468935762087,0.41666666666666674,0.07690882467226468,up,up
5,2026,3,193.0,160.76909331015446,0.1352941176470588,0.05114324031725559,up,up
6,2026,4,258.0,173.11431263504173,0.33678756476683946,0.07678851121633778,up,up
7,2026,5,189.5,177.97869037611295,-0.2655038759689923,0.028099223380369853,down,up
8,2026,6,148.5,190.31046992662903,-0.21635883905013198,0.06928795534148491,down,up
9,2026,7,172.1,203.37834334337452,0.1589225589225589,0.06866607718316065,up,up
